,Id,Target,Nucleoplasm,Nuclear membrane,Nucleoli,Nucleoli fibrillar center,Nuclear speckles,Nuclear bodies,Endoplasmic reticulum,Golgi apparatus,Peroxisomes,Endosomes,Lysosomes,Intermediate filaments,Actin filaments,Focal adhesion sites,Microtubules,Microtubule ends,Cytokinetic bridge,Mitotic spindle,Microtubule organizing center,Centrosome,Lipid droplets,Plasma membrane,Cell junctions,Mitochondria,Aggresome,Cytosol,Cytoplasmic bodies,Rods & rings
0,acadae68-bbb6-11e8-b2ba-ac1f6b6435d0,[18],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5412924e-bbae-11e8-b2ba-ac1f6b6435d0,[6 7],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,f494e564-bbc7-11e8-b2bc-ac1f6b6435d0,[3],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3e8ef31a-bbc5-11e8-b2bc-ac1f6b6435d0,[2 0],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2b157ab2-bbb5-11e8-b2ba-ac1f6b6435d0,[1],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4077385e-bbb6-11e8-b2ba-ac1f6b6435d0,[6],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0cc74c8a-bba5-11e8-b2ba-ac1f6b6435d0,[7],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1dd505ce-bba7-11e8-b2ba-ac1f6b6435d0,[13],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5f65aa2a-bbc5-11e8-b2bc-ac1f6b6435d0,[21],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0ae26a66-bbc4-11e8-b2bc-ac1f6b6435d0,[16 25],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,c910af2c-bbc2-11e8-b2bc-ac1f6b6435d0,[4],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,445312c8-bbc9-11e8-b2bc-ac1f6b6435d0,[24],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,328a12b8-bbb4-11e8-b2ba-ac1f6b6435d0,[14],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6b54dc7e-bbc1-11e8-b2bb-ac1f6b6435d0,[9],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,63df94ae-bbc4-11e8-b2bc-ac1f6b6435d0,[22 25 13 21],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
15,3aef9c18-bbb2-11e8-b2ba-ac1f6b6435d0,[26],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,7a2a5c16-bb9d-11e8-b2b9-ac1f6b6435d0,[14],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,f12a5e90-bb9a-11e8-b2b9-ac1f6b6435d0,[19 21],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
18,d2c8fc4c-bbc5-11e8-b2bc-ac1f6b6435d0,[26],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,02271820-bbad-11e8-b2ba-ac1f6b6435d0,[0],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,686f7836-bbba-11e8-b2ba-ac1f6b6435d0,[18 21],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
21,a7e1d27e-bbac-11e8-b2ba-ac1f6b6435d0,[24],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,34132274-bbc7-11e8-b2bc-ac1f6b6435d0,[25  4 21],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23,85da80ce-bbb9-11e8-b2ba-ac1f6b6435d0,[16 15  2],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,322dfc3c-bba3-11e8-b2b9-ac1f6b6435d0,[14 21],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,cdba0782-bbbb-11e8-b2ba-ac1f6b6435d0,[22 25  2  0],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
26,49dce35e-bbb0-11e8-b2ba-ac1f6b6435d0,[3],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,b0b13c66-bbaa-11e8-b2ba-ac1f6b6435d0,[16 15  2],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
28,8d6c1b06-bbc1-11e8-b2bb-ac1f6b6435d0,[1 2],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,03903282-bbbc-11e8-b2ba-ac1f6b6435d0,[25 18  0],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,4f327074-bbc1-11e8-b2bb-ac1f6b6435d0,[12 26  5  0],1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,6f14918c-bbbd-11e8-b2ba-ac1f6b6435d0,[4],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,17476b40-bbaf-11e8-b2ba-ac1f6b6435d0,[7],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0f7f026e-bbbf-11e8-b2ba-ac1f6b6435d0,[12 25],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,8c9ec18a-bbc9-11e8-b2bc-ac1f6b6435d0,[14],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3b360c48-bbbc-11e8-b2ba-ac1f6b6435d0,[25 18  0],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36,12206ccc-bbc1-11e8-b2bb-ac1f6b6435d0,[13  0],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0d0343c0-bbaf-11e8-b2ba-ac1f6b6435d0,[12 19],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,231992e0-bbaf-11e8-b2ba-ac1f6b6435d0,[24  4],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,aeae2248-bb9c-11e8-b2b9-ac1f6b6435d0,[16],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,19a12f42-bbb5-11e8-b2ba-ac1f6b6435d0,[25  0 21],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
41,fd4b22b6-bbc9-11e8-b2bc-ac1f6b6435d0,[19  0],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,386347f6-bba3-11e8-b2b9-ac1f6b6435d0,[18],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,36be54cc-bba8-11e8-b2ba-ac1f6b6435d0,[6],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4dec2776-bbbe-11e8-b2ba-ac1f6b6435d0,[7 0],1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,67fc19b6-bba8-11e8-b2ba-ac1f6b6435d0,[16  2 21],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
46,72ae6c8c-bbb3-11e8-b2ba-ac1f6b6435d0,[6],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,a9b2473c-bbb6-11e8-b2ba-ac1f6b6435d0,[6 0],1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,d7abdd4a-bbc2-11e8-b2bc-ac1f6b6435d0,[19  3],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,4b1d8c40-bba2-11e8-b2b9-ac1f6b6435d0,[2],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,a44be996-bbb7-11e8-b2ba-ac1f6b6435d0,[26],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
